同辈的压力,peer pressure
与邻居交往,socialise with neighbors
获得经济支持,gain/obtain financial support
与朋友出去玩,hang out with friends
亲密的朋友,close friends
商业机会,business opportunities
性别歧视,gender discrimination
性别偏见,gender bias
教育公平,the equal access to education
缩小性别差距,gender gap narrows.
商业领袖,business leaders
性别歧视,discrimination on the grounds of sex
性别平等,gender equality
性别差异,gender differences
管理技能,managerial skills
董事会成员,the members of the board
(女性) 打破职位提升的障碍,break/shatter the glass ceiling
进入职场,enter workforce
养家糊口,raise a family/start a family
减少男女歧视,reduce/narrow gender bias
全球变暖,global warming
温室气体,greenhouse gases
存储来自太阳的热量,trap heat from the sun
异常温暖的气候条件,unusually warm conditions
气候变化,climate change
聚集在大气中,build up/accumulate in the atmosphere
极端天气条件,extreme weather conditions
政府介入,government intervent
发起宣传活动,launch awareness campaigns
制定法律,introduce/make laws
征收烟草税,impose a tobacco tax on
保持健康,keep health
政府行为,government behaviour(?)
颁布法律,introduce/make laws
加紧监管,tighten the regulation on(?) sth
控制吸烟,curb/control smoking
预防比治疗重要,prevent is more important than the cure
公共花园,public garden
慢跑,go for a jog
减轻压力,reduce stress
开花植物,flowering plants
做户外运动,do outdoor activities
感觉放松,feel relaxed
保持身材,keep fit
常青树,evergreen trees
美丽的风景,beautiful scenery
欣赏风景,take in / admire / appreciate the senery/view/landscape
领略风光,admire the landscape
极好的景色,stunning landscape
赞美景色,admire the senery
获得幸福(结果),achieve/attain happiness
找到乐趣,find enjoyment
满足基本需求,satisfy basic needs
更高的生活水平,higher living standards
感到紧张,feel stress out
家庭生活,family life
感到孤独,feel lonely
挣钱,earn/make money 
享受快乐的退休时光,enjoy a happy retirement
感受幸福(过程),experience happiness
找到乐趣,find interests
改善生活水平,improve living standards
过上舒适的生活,lead a comfortable life
非经济因素,non-financial factors
社会生活,social life
有体面的收入,have a descent income
实现职场成功,attain career success
捐钱,donate money
保持健康,keep health
危害健康,damage health/be harmful to health/endanger health
专注于工作,focus on work/concentrate on work
促进身体健康,improve physical health
容易有健康问题,be prone to health problems
实现自己的梦想,achieve their goals
经济价值,economic value
一个久坐的生活方式,a sedentary lifestyle
对健康有危害,be harmful to health
患上心脏病,get into heart disease
病假,sick leave
看医生,see a doctor
实现自己的目标,achieve their goals
住房短缺,housing shortages
人口很多的城市,densely populated cities
为………………腾出空间,make room for sth
住房市场,the housing market
城市规划,urban planning
重新开发破旧城区,redevelop run-off urban areas
住宅楼,residential buildings
国家房(政府补贴的“公租房”/福利房),state housing
付按揭款,pay mortgage
高层建筑,high-rise buildings
乡镇,provincial towns
房产开发商,housing developers
容纳人,accommodate people
低建筑密度的社区,low-density neighborhoods
土地稀缺城市,land-scarce cities
满足对住房日益增长的需求,meet growing demand for housing
拆除老房子,demolish/tear down old buildings
网络科技,web-based technology
在家里工作,work at home/work from home
远程办公,teleworking/telecommuting
上网购物,shop online
上网课,attend online courses
去公司,travel to company
上班路程远,travel a long distance to work
省时间,save time
面对面的交流,face-to-face interaction
开会,attend meetings
避开交通高峰时段,avoid rush-hour traffic
在网上看视频,watch videos online
正式的场合,in a formal setting
社交媒体网站,social networking websites
视频聊天软件,video chat software
失去工作,lose jobs
失业率,the jobless/unemployment rate
创造就业机会,create jobs
谋生/维持生计,earn their living
赚钱,earn/make money 
生活得好/过上好日子,live a comfortable life
老龄化,population ageing
失业,lose jobs
减少失业问题,tackle unemployment problems
提供就业机会,provide job opportunities
赚取薪水,earn salaries
养家,raise a family/start a family
经济危机,economic recession
外国产品,foreign products
很积极的员工,well-motivated employees
提高积极性,improve motivation
过舒服的生活,live a comfortable life
加薪,pay rise
一个好的激励因素,a good motivator
进步感,a sense of progress
养家糊口,raise a family/start a family
归属感,a sense of belongling
一个好的工作环境,a good working environment
获得工作满意度,gain working satisfaction
让员工更加忠诚,inspire loyalty
工作环境,the atmosphere in the workplaces
灵活的工作模式,flexible patterns of work
稳定的职业,steady careers
劳动力市场,the labour market
激烈的竞争,intensely competitive (market)
找到工作,find a job
稳定的收入,a steady income
支付生活费,cover living expenses
获得一个学位,complete a degree
丰富技能,sharpen skills/add to the skill set
工作条件,working conditions
工作关系,working relationships
竞争激烈,fierce/tough/stiff competition
提高工作的稳定性,improve job security
失业,lose their jobs
增加收入,increase income
接受培训,undergo training
符合要求,meet demand
读书,read books
知识型经济,the knowledge-based economy
增长知识,broaden minds
实现个人的野心,attain ambition
在线阅读文章,read articles online
获得知识,gain knowledge
一个重要的知识来源,a vital source of knowledge
数字图书,digital books/e-books
开阔思路,broaden minds
开阔眼界,broaden horizons
了解最新发生的事情,keep up to date with information
对………………保持消息灵通,keep well-informed with what is happening now
教育类电视节目,educational programmes
国际语言,international languages
很少人说的语言,less spoken languages
濒临消失的语言,endangered languages
交流方式,communication methods
保护传统,preserve traditions
保护语言,preserve/protect language
庆祝节日,celebrate festivals
全球性的语言,global languages
少数民族语言/小语种,minority lanugages
母语,the mother tongue
文化认同,cultural identity
保护语言多样性,preserve language diversity
文化多样性,cultural diversity
传统食物,traditional food
违法,break the law
触犯法律,violate the law
遵守法律,obey laws
面对惩罚,face punishment
严重后果,serious/severe sequences
青少年犯罪,juvenile delinquency
轻微的犯罪,petty crime
种族矛盾,racial tensions
快速赚钱,make fast money
违反法律,violate the law
遵守法律,comply with laws
监禁,a prison sentence
青少年犯罪,youth crime
年轻的罪犯,young offenders
严重的犯罪,serious crime
过着忙碌的生活,lead to a hectic life
喜欢运动,lead an active lifestyle
