chinese,phrase, 
白手起家, start from scrath/self-made man
过奢侈的生活, lead to a extravagant life
名牌的衣服, designer clothes
奢华的派对, luxurious parties/extravagant parities
过节约的生活, lead to a frugal life/have a frugal life
开豪车, drive luxurious/prestigious cars
树立坏的榜样, set bad examples/set a negative example
追求物质的东西, pursue material goods/become too materialistic
摇滚歌手, rock stars
电影明星, movie stars
正面的榜样, positive role models
年青一代, the young generation/youngsters/the youth
体育明星, sports stars
培养技能, develop skills
变得世界闻名, become world famous
楷模, role models
表现出决心, demonstrate determination
获得成功, achieve success
羡慕名人, admire celebrities
有名的娱乐圈人士, famous entertainers
成名, achieve fame
忠实粉丝, devoted/loyal fans
著名运动员, famous athletes
激励下一代, inspire the next generation
发展天赋, develop talents
模仿偶像, emulate idols
积极的影响, positive effects/a good influence (to their children)
遇到问题, encouter/meet problems
慈善组织, charitable organizations/charities
调拨资源, allocate resources
医疗救助, medical aid
有需要的人, needy people
生活贫穷的人, people who live in poverty
贫穷国家, impoverished countries
筹钱, raise funds/money
国际援助, international aid
有需要的人, people in need/needy people
日常生活用品, baisc necessities
摆脱贫穷, eradicate/root out poverty
第三世界的国家, the Third World countries
遵守着装要求, follow a dress code
穿着正式, dress fomally
展现专业形象, present a professional image
社会规则, social rules
社交礼仪, social etiquette
穿制服, wear uniforms
休闲服装, leisure clothes
留下好印象, leave/make a good impression
社会规范, social norms
公共场所, public places/spaces
