anticipate,估计
exotic,外部的
fabric,织物
forage,觅食
germinate,发芽
impose,强加
intense,剧烈的，强烈的
landscape,风景
pendulum,钟摆
revised,订正过的
temperate,温带
adverse,不利的
beforehand,预先
feat,才艺
agitate,鼓动
appraisal,估计
assess,估计
damp,潮湿
estate,不动产
flaw,缺点
foster,培育
freight,
graze,擦
grinding,研磨
mould,磨具
pedestrian,行人
pharmaceutical,药学
prescribe,开药
ascribe,归因
renowned,知名的
rival,竞争对手
seminar,研讨会
spectacular,
subsidy,
territory,领土
therapy,疗法
thrive,繁盛
trek,艰难跋涉
tremendous,
venue,建筑
ailment,小病
dispense,分发
district,
immense,
lobby,大厅
nourish,滋养
obligation,义务
plantation,种植园
reluctant,不愿意的
rigorous,严厉的
ritual,
silt,淤泥
vigilance,警戒
fabulous,极好的
steady,平稳的
airborne,天上的
consolidation,固定
pitched,倾斜的
expedition,远行
flourish,繁盛
prey,猎物
acquisition,获得
comprise,包含
drought,干燥
mortality,死亡率
glow,红色的暗淡的光
hospitality,招待
imagery,意象
undermine,损害
apprenticeship,学徒制
degradation,堕落，降级
incentive,奖金
catalogue,目录
metropolitan,都市
renewed,翻新
squash,压扁
