word,score
acoustic,10
acquisition,8
advent,10
agile,10
agitate,0
anticipate,-1
appraisal,0
appreciation,10
apprenticeship,9
archaeology,10
Arctic,10
arousal,10
assess,0
auditorium,10
attribute,10
brochure,10
cater,10
cereal,10
chronic,10
commodity,10
communal,10
compound,10
comprise,8
compulsory,10
congestion,10
contaminated,10
corridor,10
crew,10
curriculum,10
damp,0
degradation,9
deprive,10
detrimental,10
discipline,10
dissertation,10
drawback,10
drought,8
essence,10
estate,0
excavate,10
exotic,-1
expedition,6
extraordinary,10
fabric,-1
fabulous,4
flaw,0
flourish,6
forage,-1
foster,0
freight,0
germinate,-1
graze,0
grinding,0
habitat,10
herb,10
heritage,10
hut,10
illiterate,10
impose,-1
incentive,9
indigenous,10
intense,-1
interior,10
juvenile,10
landscape,-1
leaflet,10
mineral,10
monopoly,10
monument,10
moral,10
mortality,8
mould,0
nurture,10
nutrient,10
obstacle,10
ozone,10
pedestrian,0
pendulum,-1
personnel,10
pest,10
pharmaceutical,0
plough,10
premier,10
premise,10
prescribe,0
ascribe,0
prey,6
prospect,10
radical,10
reckon,10
recreational,10
remedy,10
renowned,0
resemble,10
revised,-1
rival,0
scout,10
sediment,10
seminar,0
settler,10
species,10
specimen,10
spectacular,0
steady,4
subsidy,0
temperate,-1
territory,0
therapy,0
thrive,0
trek,0
tremendous,0
vegetation,10
venue,0
worthwhile,10
adverse,-1
ailment,0
airborne,4
amass,10
beforehand,-1
bolt,10
captive,10
catalogue,9
clientele,10
conceal,10
confront,10
consensus,10
consolidation,5
cushion,10
discrepancy,10
dispense,0
displace,10
district,0
drain,10
exaggerate,10
exert,10
feat,-1
fertile,10
glow,8
hospitality,8
humpback,10
imagery,8
immense,0
lobby,0
metropolitan,9
mitigate,10
moisture,10
norm,10
nourish,0
obligation,0
opt,10
pat,10
pitched,5
plantation,0
prefrontal,10
profound,10
prolong,10
reluctant,0
renewed,9
reproduce,10
rigorous,0
ritual,0
scarce,10
shatter,10
silt,0
soar,10
squash,9
strain,10
surge,10
symptom,10
trance,10
transmit,10
undergo,10
undermine,8
unprecedented,10
viable,10
vigilance,0
wreck,10
yacht,10
