exotic,"外来的","奇异","外部的",-1
venue,"场馆","地点","",-1
feat,"壮举","技艺","才艺",-1
freight,"货物","运费","",0
spectacular,"壮观的","惊人的","",0
subsidy,"补助金","补贴","",0
tremendous,"巨大的","极好的","",0
district,"区","辖区","",0
immense,"巨大的","无限的","",0
ritual,"仪式","惯例","",0
acquisition,"获得","习得","获得的",10
agitate,"摇动","煽动","",10
apprenticeship,"学徒","见习","学徒",10
comprise,"包含","构成","组合自",10
damp,"潮湿的","","",10
degradation,"降级","堕落","堕落，降级",10
estate,"地产","身份","",10
fabric,"布料","结构","植物",10
fabulous,"传说","极好","不同寻常的",10
flaw,"裂纹","缺点","",10
flourish,"茂盛","繁荣","鲜花繁茂的",10
forage,"觅食","搜寻","密室",10
foster,"抚养","培养","",10
germinate,"发芽","萌芽","繁殖",10
grinding,"研磨","折磨","",10
impose,"征收","强加","使用",10
intense,"剧烈","紧张","刺激",10
landscape,"风景","格局","地标",10
mortality,"死亡率","必死","致死性",10
pedestrian,"行人","平庸","",10
pendulum,"钟摆","摇摆","悬挂",10
prescribe,"开药","规定","",10
ascribe,"","归因","",10
prey,"猎物","受害者","掠夺",10
renowned,"","著名的","",10
revised,"修订版","修正","审阅",10
rival,"对手","竞争","",10
seminar,"研讨会","研讨","",10
steady,"平稳的","坚定的","坚持",10
territory,"领土","领域","",10
therapy,"疗法","治疗","",10
thrive,"茁壮成长","繁荣","",10
trek,"跋涉","艰辛历程","",10
adverse,"","不利的","对抗",10
ailment,"小病","","",10
beforehand,"","预先","前额",10
catalogue,"目录","登记","分类",10
dispense,"分发","免除","",10
glow,"红光","热情","暗淡的光",10
imagery,"图像","意象","意向",10
lobby,"大厅","游说","",10
nourish,"滋养","培育","",10
obligation,"","义务","",10
pitched,"倾斜","激烈","带有音符的",10
plantation,"种植园","","",10
reluctant,"","不愿","",10
rigorous,"严格","严谨","",10
silt,"淤泥","","",10
squash,"压扁","压制","粉碎",10
undermine,"挖空","削弱","被损害",10
vigilance,"警戒","警惕","",10
airborne,"空中的","","天上的",5
anticipate,"预料","期望","参与",6
drought,"干旱","缺乏","干旱的",6
consolidation,"加固","巩固","联盟",6
appraisal,"估价","评价","",8
assess,"评估","评定","",8
expedition,"探险","效率","冒险",8
graze,"吃草","擦过","",8
incentive,"奖金","动力","刺激",8
mould,"模具","塑造","",9
pharmaceutical,"药物","制药","",9
temperate,"温带的","温和的","温度",9
hospitality,"招待","好客","好客的",9
metropolitan,"大都市的","宗主国的","超大都市",9
renewed,"更新","复兴","翻新的",9
